BGFIPS10,Drunk,DrunkP1k,Bars,BarPSqMi,RetailPSqMi,Pop,PopDens1k,pMale,pHHPov,VacantHU,SqMiles
060750264021,1.0,1.16144018583,0.0,0.0,0.0,861,25.9968115587,55.1684088269,3.6231884058,0.0,0.0331194461311
060750264022,0.0,0.0,0.0,0.0,0.0,1562,22.1883199729,44.814340589,19.8135198135,0.0,0.0703973983568
060750264023,1.0,0.577367205543,0.0,0.0,0.0,1732,31.2074609912,46.7090069284,0.0,6.31163708087,0.0554995486653
060750264031,0.0,0.0,0.0,0.0,62.8650584792,1887,23.7252730701,45.6809750927,12.4153498871,9.22131147541,0.0795354386197
060750264032,5.0,2.56937307297,0.0,0.0,271.791917423,1946,29.3837261836,48.8694758479,19.806763285,8.40707964602,0.0662271349739
060750264041,2.0,1.51860288535,0.0,0.0,25.8104969332,1317,33.992424461,43.9635535308,14.3266475645,14.4607843137,0.0387439266509
060750264042,0.0,0.0,0.0,0.0,58.5059789558,1159,33.9042148049,45.4702329594,24.3506493506,7.22891566265,0.0341845403785
060750301011,1.0,0.784929356358,0.0,0.0,0.0,1274,33.9949452325,53.9246467818,18.3144246353,4.19254658385,0.0374761598021
060750301012,2.0,1.23685837972,0.0,0.0,26.2921056734,1617,42.514334874,42.7952999382,9.78792822186,0.0,0.0380342302142
060750301013,1.0,0.919117647059,0.0,0.0,129.510304893,1088,46.9690705745,54.5955882353,17.2995780591,2.06611570248,0.0231641798889
060750301014,0.0,0.0,1.0,28.3195679389,84.9587038168,749,21.2113563863,48.0640854473,12.7819548872,6.77570093458,0.035311273186
060750301021,0.0,0.0,0.0,0.0,0.0,2865,9.95961042207,57.6265270506,16.6522864538,6.45682001614,0.287661854087
060750301022,0.0,0.0,0.0,0.0,0.0,1319,9.24798357916,49.279757392,1.92023633678,5.31468531469,0.142625685774
060750301023,0.0,0.0,0.0,0.0,0.0,1045,16.9942807153,40.3827751196,0.0,0.0,0.0614912756537
060750302011,1.0,0.636537237428,2.0,41.9358234395,146.775382038,1571,32.9405893117,47.9312539784,11.3116726835,4.26267281106,0.0476919215116
060750302012,0.0,0.0,0.0,0.0,44.6866871423,1198,26.7673255982,40.8180300501,13.5658914729,7.69230769231,0.04475605886
