GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
1500000US060750166001,060750166001,"Block Group 1, Census Tract 166, San Francisco County, California",82361,20184
1500000US060750166002,060750166002,"Block Group 2, Census Tract 166, San Francisco County, California",93194,24492
1500000US060750166003,060750166003,"Block Group 3, Census Tract 166, San Francisco County, California",110833,37550
1500000US060750166004,060750166004,"Block Group 4, Census Tract 166, San Francisco County, California",119833,44988
1500000US060750167001,060750167001,"Block Group 1, Census Tract 167, San Francisco County, California",133333,27808
1500000US060750167002,060750167002,"Block Group 2, Census Tract 167, San Francisco County, California",133214,63344
1500000US060750167003,060750167003,"Block Group 3, Census Tract 167, San Francisco County, California",140833,44439
1500000US060750167004,060750167004,"Block Group 4, Census Tract 167, San Francisco County, California",106591,37250
1500000US060750168011,060750168011,"Block Group 1, Census Tract 168.01, San Francisco County, California",93056,48233
1500000US060750168012,060750168012,"Block Group 2, Census Tract 168.01, San Francisco County, California",72917,41697
1500000US060750168013,060750168013,"Block Group 3, Census Tract 168.01, San Francisco County, California",87644,50331
1500000US060750168021,060750168021,"Block Group 1, Census Tract 168.02, San Francisco County, California",91000,33679
1500000US060750168022,060750168022,"Block Group 2, Census Tract 168.02, San Francisco County, California",47167,59988
1500000US060750168023,060750168023,"Block Group 3, Census Tract 168.02, San Francisco County, California",51563,27655
1500000US060750169001,060750169001,"Block Group 1, Census Tract 169, San Francisco County, California",93456,30559
1500000US060750169002,060750169002,"Block Group 2, Census Tract 169, San Francisco County, California",130481,15897
1500000US060750170001,060750170001,"Block Group 1, Census Tract 170, San Francisco County, California",119350,33474
1500000US060750170002,060750170002,"Block Group 2, Census Tract 170, San Francisco County, California",127000,22001
1500000US060750170003,060750170003,"Block Group 3, Census Tract 170, San Francisco County, California",109613,48990
1500000US060750171011,060750171011,"Block Group 1, Census Tract 171.01, San Francisco County, California",125000,28079
1500000US060750171012,060750171012,"Block Group 2, Census Tract 171.01, San Francisco County, California",120330,11785
1500000US060750171013,060750171013,"Block Group 3, Census Tract 171.01, San Francisco County, California",151393,33457
1500000US060750171021,060750171021,"Block Group 1, Census Tract 171.02, San Francisco County, California",112727,12971
1500000US060750171022,060750171022,"Block Group 2, Census Tract 171.02, San Francisco County, California",118542,15191
1500000US060750171023,060750171023,"Block Group 3, Census Tract 171.02, San Francisco County, California",111875,40032
1500000US060750176011,060750176011,"Block Group 1, Census Tract 176.01, San Francisco County, California",-,**
1500000US060750176012,060750176012,"Block Group 2, Census Tract 176.01, San Francisco County, California",14194,7797
1500000US060750176013,060750176013,"Block Group 3, Census Tract 176.01, San Francisco County, California",42083,59933
1500000US060750176014,060750176014,"Block Group 4, Census Tract 176.01, San Francisco County, California",29100,29121
1500000US060750176015,060750176015,"Block Group 5, Census Tract 176.01, San Francisco County, California",23134,13421
1500000US060750177001,060750177001,"Block Group 1, Census Tract 177, San Francisco County, California",91250,90302
1500000US060750177002,060750177002,"Block Group 2, Census Tract 177, San Francisco County, California",79088,16964
1500000US060750178011,060750178011,"Block Group 1, Census Tract 178.01, San Francisco County, California",11679,378
1500000US060750178012,060750178012,"Block Group 2, Census Tract 178.01, San Francisco County, California",28023,13347
1500000US060750178021,060750178021,"Block Group 1, Census Tract 178.02, San Francisco County, California",70214,21259
1500000US060750178022,060750178022,"Block Group 2, Census Tract 178.02, San Francisco County, California",49336,46818
1500000US060750179021,060750179021,"Block Group 1, Census Tract 179.02, San Francisco County, California",38077,6006
1500000US060750180001,060750180001,"Block Group 1, Census Tract 180, San Francisco County, California",146023,28401
1500000US060750180002,060750180002,"Block Group 2, Census Tract 180, San Francisco County, California",80455,76036
1500000US060750201001,060750201001,"Block Group 1, Census Tract 201, San Francisco County, California",83306,21748
1500000US060750201002,060750201002,"Block Group 2, Census Tract 201, San Francisco County, California",44975,18739
1500000US060750201003,060750201003,"Block Group 3, Census Tract 201, San Francisco County, California",22565,3337
1500000US060750201004,060750201004,"Block Group 4, Census Tract 201, San Francisco County, California",18688,11221
1500000US060750202001,060750202001,"Block Group 1, Census Tract 202, San Francisco County, California",78261,19705
1500000US060750202002,060750202002,"Block Group 2, Census Tract 202, San Francisco County, California",59972,30648
1500000US060750202003,060750202003,"Block Group 3, Census Tract 202, San Francisco County, California",61354,14430
1500000US060750203001,060750203001,"Block Group 1, Census Tract 203, San Francisco County, California",95682,18595
1500000US060750203002,060750203002,"Block Group 2, Census Tract 203, San Francisco County, California",113692,12822
1500000US060750203003,060750203003,"Block Group 3, Census Tract 203, San Francisco County, California",103542,23685
1500000US060750204011,060750204011,"Block Group 1, Census Tract 204.01, San Francisco County, California",135167,65064
1500000US060750204012,060750204012,"Block Group 2, Census Tract 204.01, San Francisco County, California",106250,65282
